DateTime,Max/Min,State,Fuel Type,Supply
21/09/2018 05:00,Min,NEM,Liquid Fuel,0.1
21/09/2018 05:00,Min,NEM,Utility-scale Solar,0.678
21/09/2018 05:00,Min,NEM,Wind,683.175
27/10/2018 12:30,Max,NEM,Battery,0
27/10/2018 12:30,Max,NEM,Biomass,47.85
27/10/2018 12:30,Max,NEM,Black coal,10156.43
27/10/2018 12:30,Max,NEM,Brown coal,3493.569
27/10/2018 12:30,Max,NEM,Distributed PV,4278.19
27/10/2018 12:30,Max,NEM,Gas,724.922
27/10/2018 12:30,Max,NEM,Hydro,823.16
27/10/2018 12:30,Max,NEM,Liquid Fuel,0.046
27/10/2018 12:30,Max,NEM,Utility-scale Solar,1079.572
27/10/2018 12:30,Max,NEM,Wind,2158.734
30/10/2018 02:30,Min,NEM,Battery,0
30/10/2018 02:30,Min,NEM,Biomass,40.15
30/10/2018 02:30,Min,NEM,Black coal,11371.898
30/10/2018 02:30,Min,NEM,Brown coal,3826.834
30/10/2018 02:30,Min,NEM,Distributed PV,0
30/10/2018 02:30,Min,NEM,Gas,1577.444
30/10/2018 02:30,Min,NEM,Hydro,861.514
30/10/2018 02:30,Min,NEM,Liquid Fuel,14.071
30/10/2018 02:30,Min,NEM,Utility-scale Solar,1.477
30/10/2018 02:30,Min,NEM,Wind,635.124
23/11/2018 12:30,Max,NEM,Battery,14.313
23/11/2018 12:30,Max,NEM,Biomass,33.316
23/11/2018 12:30,Max,NEM,Black coal,11425.894
23/11/2018 12:30,Max,NEM,Brown coal,3210.267
23/11/2018 12:30,Max,NEM,Distributed PV,3839.752
23/11/2018 12:30,Max,NEM,Gas,658.647
23/11/2018 12:30,Max,NEM,Hydro,1411.17
23/11/2018 12:30,Max,NEM,Liquid Fuel,10.078
23/11/2018 12:30,Max,NEM,Utility-scale Solar,1187.859
23/11/2018 12:30,Max,NEM,Wind,2916.703
30/11/2018 04:00,Min,NEM,Battery,5.7
30/11/2018 04:00,Min,NEM,Biomass,18.383
30/11/2018 04:00,Min,NEM,Black coal,11683.211
30/11/2018 04:00,Min,NEM,Brown coal,3760.654
30/11/2018 04:00,Min,NEM,Distributed PV,0
30/11/2018 04:00,Min,NEM,Gas,1662.308
30/11/2018 04:00,Min,NEM,Hydro,992.939
30/11/2018 04:00,Min,NEM,Liquid Fuel,0.035
30/11/2018 04:00,Min,NEM,Utility-scale Solar,0.902
30/11/2018 04:00,Min,NEM,Wind,203.406
02/12/2018 10:30,Max,NEM,Battery,1.133
02/12/2018 10:30,Max,NEM,Biomass,36.266
02/12/2018 10:30,Max,NEM,Black coal,10613.467
02/12/2018 10:30,Max,NEM,Brown coal,3202.761
02/12/2018 10:30,Max,NEM,Distributed PV,4006.947
02/12/2018 10:30,Max,NEM,Gas,579.602
02/12/2018 10:30,Max,NEM,Hydro,588.112
02/12/2018 10:30,Max,NEM,Liquid Fuel,0.11
